"1.產品代號","2.產品名稱","3.產品名稱延長(次品名)","4.平均成本","5.銷售單價一","6.銷售單價二","7.銷售單價三","8.銷售單價四","9.最低售價","10.建議售價","11.備註","12.固定安全量","13.安全量是否自動計算","14.安全量自動計算天數","15.採購系數","16.自動安全量","17.是否依安全量採購","18.安全量採購倍數","19.列入自動轉採購","20.驗貨列出","21.撿貨單列出","22.EAN13碼","23.Code128","24.外部碼","25.顏色","26.尺寸","27.供應廠商代號","28.預估成本","評估成本單價","29.產地國別","30.保存期限天數","31.即期品","32.到期通知天數","33.數量為零自動下架","34.若有下採購單自動上架","35.持續上架","36.停止上架","37.第一次進貨自動上架","38.促銷品","39.不允許客戶下架","40.上架日期區間起","41.上架日期區間迄","42.通知採購1","43.通知採購2","44.通知採購3","45.通知採購4","46.所有數字按照比例升降","47.每層的銷售單價1","48.每層的銷售單價2","49.每層的銷售單價3","50.每層的銷售單價4","51.本產品只上經銷商網站(B2B)","52.店長推薦","53.簡要說明1","54.簡要說明2","55.簡要說明3","56.網路建議售價","57.建立日期","58.缺貨到貨天數","59.網路最低價","60.相同類別排序為前","61.預定到貨日期","62.網站顯示實際庫存","63.預購日期區間起","64.預購日期區間迄","65.促銷數量","66.促銷品金額","67.促銷敘述","68.B品區數量","69.B品售價","70.B品敘述","71.經銷商特價","72.經銷商特價有效日期區間起","73.經銷商特價有效日期區間訖","74.網路特價","75.網路特價有效日期區間起","76.網路特價有效日期區間訖","77.促銷日期/紅利可調整倍數","78.促銷日期結束然後調回幾倍","79.促銷日期有效日期區間起","80.促銷日期有效日期區間訖","81.POS特價(含稅)","82.POS特價日期起","83.POS特價日期迄","84.進貨預設分倉","85.銷貨預設分倉","86.發票明細名稱","87.溫層代號 0:常溫1:冷藏2:冷凍","88.稅別 1:應稅2:零稅3:免稅","89.單品重量(公斤)","90.單品體積(長)cm","91.單品體積(寬)cm","92.單品體積(高)cm","93.包裝重量(公斤)","94.包裝體積(長)cm","95.包裝體積(寬)cm","96.包裝體積(高)cm","97.成箱重量(公斤)","98.成箱體積(長)cm","99.成箱體積(寬)cm","100.成箱體積(高)cm","101.最低訂購量","102.包裝數量","103.裝箱數量","104.列入批次轉出貨","105.關稅","106.API庫存同步-YAHOO購物中心","107.API庫存同步-YAHOO超級商城","108.API庫存同步-MOMO購物中心","109.API庫存同步-MOMO摩天商城","110.API庫存同步-91APP","111.採購連結","112.新品異動日期(民國年/月/日)","113.允許子件變更","114.商品採購備註","115.類別代碼蝦皮","116.類別代碼露天","117.類別代碼Yahoo拍賣","海關編碼(英數11碼)","內部備註","材質","包裝方式","庫存總數量"
="000001",廢料,,"0","9999","0","0","0","0","9999",,"0","1","15","0","0","0","1","1","1","1",,="000001",,,,,"0","0",,"0","0","0","0","0","1","0","0","0","1",,,,,,,"0","0","0","0","0","0","0",,,,"0",,"1","0","10",,"1","","","0","0",,"0","0",,"0",,,"0",,,"0","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",,114.10.12,"0",,,,,,,,,"0"
="000002",(運費)賣貨便+38,,"38","0","0","0","0","0","0",,"0","1","15","0","0","0","1","1","1","1",,="000002",,,,,"0","38",,"0","0","0","0","0","1","0","0","0","1",,,,,,,"0","0","0","0","0","0","0",,,,"0",,"1","0","10",,"1","","","0","0",,"0","0",,"0",,,"0",,,"0","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",,115.05.22,"0",,,,,,,,,"0"
="000004",(E)NS小小夢魘2(中),,"657.582878018133","990","960","0","0","0","990",,"6","0","90","0","0","0","1","1","1","1",,="000004",,,,="25","0","657.582878018133",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"6"
="000006",(A)寶可夢隨樂拍(中),,"521","990","940","0","0","0","990",,"0","0","90","0","0","0","1","1","1","1",,="000006",,,,="25","0","521",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000007",(A)星之卡比新星同盟(中),,"983.6018975934","1390","1340","0","0","0","1390",,"15","0","90","0","0","0","1","1","1","1",,="000007",,,,="05","0","983.6018975934",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"30"
="000008",(A)瑪利歐創作家2(中),,"1148.46875000002","1390","1340","0","0","0","1390",,"4","0","90","0","0","0","1","1","1","1",,="000008",,,,="23","0","1148.46875000002",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"0"
="000010",(A)耀西的手工世界(中),,"1076.44","1390","1340","0","0","0","1390",,"4","0","90","0","0","0","1","1","1","1",,="000010",,,,="05","0","1076.44",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"5"
="000012",(E)惡靈古堡456(56日美序)(中)日版4日文.美版4中文,,"979.7666203345","1390","1340","0","0","0","1390",,"6","0","90","0","0","0","1","1","1","1",,="000012",,,,="25","0","979.7666203345",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","1900/1/1","1900/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"4"
="000013",(C)卡普空街機合集(選單中文),,"487.2544366998","990","960","0","0","0","990",,"4","0","90","0","0","0","1","1","1","1",,="000013",,,,="25","0","487.2544366998",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","2811/1/1","2811/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"3"
="000015",(E)狙擊菁英4(中),,"701.550230031536","1090","1060","0","0","0","1090",,"6","0","90","0","0","0","1","1","1","1",,="000015",,,,="25","0","701.550230031536",,"0","0","0","0","0","1","0","0","0","0",,,,,,,"0","0","0","0","0","0","0",,,,"0",112.05.11,"0","0","0",,"1","1900/1/1","1900/1/1","0","0",,"0","0",,"0",,,"0",,,"1","0",,,"0",,,,,,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0",,112.05.11,"0",,,,,,,,,"3"
