大類代號,大類名稱,括號分類,關鍵字,啟用,備註
1,PS主機,PS主機,PS主機,1,
2,PS配件,PS配件,PS配件,1,
3,PS遊戲,PS遊戲,PS遊戲,1,
4,PS遊戲(二手),二手,PS遊戲二手;PS4二手;PS5二手,1,
5,NS主機,NS主機,NS主機;Switch主機,1,
6,NS遊戲,NS遊戲,NS遊戲;Switch遊戲,1,
7,NS遊戲(二手),二手,NS遊戲二手;Switch遊戲二手,1,
8,NS Amiibo,Amiibo,Amiibo,1,
9,NS控制器,NS控制器,NS控制器;Joy-Con;Pro控制器,1,
10,NS包包類,NS包包,NS包包;Switch包包,1,
11,NS配件,NS配件,NS配件;Switch配件,1,
13,PS5控制器,PS5控制器,PS5控制器,1,
14,XBOX,XBOX,XBOX,1,
15,NS充電與轉接,NS充電,NS充電;轉接,1,
17,NS保護貼,NS保護貼,NS保護貼;Switch保護貼,1,
18,記憶/點數卡,點數卡,記憶卡;點數卡,1,
19,方向盤類,方向盤,方向盤,1,
21,攻略本,攻略本,攻略本,1,
25,TOMICA車車,TOMICA,TOMICA;多美小汽車,1,
26,一番賞,一番賞,一番賞,1,
27,卡牌&卡牌周邊,卡牌,卡牌;卡套;牌盒;收藏卡,1,
28,鑰匙圈,鑰匙圈,鑰匙圈,1,
29,沐浴球系列,沐浴球,沐浴球,1,
31,日版授權娃娃,娃娃,日版授權娃娃,1,
33,動漫盒玩,盒玩,動漫盒玩,1,
34,大陸盒玩類,盲盒,大陸盒玩;盲盒;盒玩;中盒,1,萬榮盲盒目前沿用此大類
35,泡泡瑪特盒玩,泡泡瑪特,泡泡瑪特;POP MART,1,
36,台灣盲盒,台灣盲盒,台灣盲盒,1,
37,日本盒玩,日本盒玩,日本盒玩;日版盒玩,1,
38,公仔/吊卡/PVC,公仔,公仔;吊卡;PVC,1,
39,景品,景品,景品;Coreful;Desktop Cute;FIGURIZM;VIBRATION STARS;KING OF ARTIST,1,
40,夜燈,夜燈,夜燈,1,
45,綜合動漫周邊,動漫周邊,動漫周邊;綜合動漫周邊,1,
46,動漫周邊徽章,徽章,徽章,1,
47,吉伊卡哇周邊,吉伊卡哇,吉伊卡哇;Chiikawa,1,
48,寶可夢周邊,寶可夢,寶可夢;Pokemon;Pokémon,1,
51,卡比周邊,卡比,卡比;Kirby,1,
96,維修類,維修,維修,1,
97,禮包/備品/特典,特典,禮包;備品;特典,1,
98,其他(文具&雜物),文具,文具;雜物;其他,1,
